variant,injury_bucket,position,n_players,mae,rmse,mean_bias,spearman,top12_hit,top24_hit,top36_hit,cov_50,cov_80
no_reg,all,ALL,462.0,43.53200221209068,61.09229914826159,4.73505675407323,0.729176233016306,0.2777777777777778,0.3888888888888889,0.49074074074074076,0.5673842612466085,0.8342941699742871
reg_0_5x,all,ALL,462.0,43.50702715502259,60.93657108258295,5.085208631288322,0.7293753356230396,0.2777777777777778,0.40277777777777785,0.48148148148148145,0.5673378275171473,0.8350078689549095
reg_1x,all,ALL,462.0,43.533039318101686,60.80400063264168,5.371961260109199,0.7295761154592878,0.2777777777777778,0.40277777777777785,0.48148148148148145,0.5680455416006577,0.8350048765063534
reg_2x,all,ALL,462.0,43.633345740233004,60.598588322052876,5.833480890533255,0.7298962955324989,0.2777777777777778,0.40277777777777785,0.48148148148148145,0.569454984870566,0.8357530394222126
no_reg,all,QB,64.66666666666667,64.59717527306809,86.83973447080395,5.6410549746533,0.706524026547422,0.5277777777777778,0.7361111111111112,0.8148148148148149,0.529294252941641,0.7815300975282318
reg_0_5x,all,QB,64.66666666666667,64.69152194868786,86.73139132182872,6.428184121648532,0.7039306316044497,0.5277777777777778,0.7361111111111112,0.8148148148148149,0.5243191285635315,0.7919467641948984
reg_1x,all,QB,64.66666666666667,64.83143360122283,86.6086241966051,7.123045144431057,0.7020528306537273,0.5277777777777778,0.7361111111111112,0.8148148148148149,0.5243191285635315,0.7919467641948984
reg_2x,all,QB,64.66666666666667,65.1900600767424,86.40774554031458,8.292064076323806,0.6971381779282805,0.5277777777777778,0.7222222222222223,0.8148148148148149,0.5087619936034115,0.7919467641948984
no_reg,all,RB,120.0,49.08168619982786,67.46907909973267,7.378928578434848,0.6829698348426905,0.4166666666666667,0.611111111111111,0.6481481481481481,0.5801038843721771,0.8211799041067334
reg_0_5x,all,RB,120.0,49.03550515378555,67.26391913986457,7.67707997444444,0.6835406077827438,0.4166666666666667,0.611111111111111,0.6481481481481481,0.5799649086234452,0.8238899312070044
reg_1x,all,RB,120.0,49.03774489964231,67.09377118963668,7.918657102262212,0.6843095885308736,0.4166666666666667,0.611111111111111,0.6481481481481481,0.5772548815231743,0.8266677089847821
reg_2x,all,RB,120.0,49.077826382330294,66.82384087851986,8.302055323261632,0.6836714049778198,0.4166666666666667,0.611111111111111,0.6388888888888888,0.5773261065943993,0.8268066847335139
no_reg,all,TE,97.33333333333333,27.777534744864752,38.745669461672804,-0.301115436674711,0.7550163144250569,0.5833333333333334,0.763888888888889,0.7222222222222222,0.6097985872470408,0.8628347478218612
reg_0_5x,all,TE,97.33333333333333,27.710631915273922,38.610359772320614,0.005484632895920012,0.7539803142225606,0.5833333333333334,0.763888888888889,0.7314814814814815,0.6166378128362665,0.8594677444548579
reg_1x,all,TE,97.33333333333333,27.707974237460334,38.51890298727728,0.2271584468753356,0.7544810134736318,0.5833333333333334,0.763888888888889,0.7314814814814815,0.6166378128362665,0.8594677444548579
reg_2x,all,TE,97.33333333333333,27.778401834821782,38.39716002580152,0.5564873399149781,0.755354887652048,0.5833333333333334,0.7777777777777778,0.7314814814814815,0.633683267381721,0.8628347478218612
no_reg,all,WR,180.0,40.67379709369672,54.26331004379369,5.4510739672456685,0.749664129965146,0.5555555555555556,0.6805555555555555,0.7407407407407408,0.5490088697034126,0.8470674140411916
reg_0_5x,all,WR,180.0,40.645286928581804,54.10432681201305,5.7012559119896045,0.7508677498399793,0.5555555555555556,0.6805555555555555,0.7407407407407408,0.5470008375748986,0.8452848828468955
reg_1x,all,WR,180.0,40.66410761371811,53.97592279672107,5.90530283301356,0.750592599042788,0.5555555555555556,0.6805555555555555,0.7407407407407408,0.5505658999634903,0.8435023516525998
reg_2x,all,WR,180.0,40.73171440414152,53.78309533287916,6.233594826123107,0.751598585302974,0.5555555555555556,0.6805555555555555,0.7407407407407408,0.5503403990292721,0.8435023516525998
no_reg,healthy,ALL,308.0,48.02810253181033,64.35728631847742,-8.021195254149449,0.7387933762895539,0.2777777777777778,0.40277777777777785,0.5,0.4992677468379298,0.8087785755717305
reg_0_5x,healthy,ALL,308.0,47.80966021227164,64.12206980267392,-7.944051888314863,0.7390736761386427,0.2777777777777778,0.40277777777777785,0.5,0.501450014396076,0.8109394133338883
reg_1x,healthy,ALL,308.0,47.64028300679436,63.909622908218466,-7.891685981964046,0.7392685962113403,0.2777777777777778,0.4166666666666667,0.49074074074074076,0.503621567056228,0.8120359045619585
reg_2x,healthy,ALL,308.0,47.387923175853196,63.552921542750774,-7.8297162344321265,0.7403822497875244,0.2777777777777778,0.4166666666666667,0.49074074074074076,0.5090724946948132,0.8131222970842514
no_reg,healthy,QB,31.0,86.4163413838429,105.19204055972102,-24.824186552884083,0.31178548886233376,0.5277777777777778,0.7916666666666666,NaN,0.34581633914225685,0.6767002617948114
reg_0_5x,healthy,QB,31.0,86.30727252953562,104.93733355142052,-24.781338169159067,0.309740024672526,0.5277777777777778,0.7916666666666666,NaN,0.33571532904124674,0.6996887675419377
reg_1x,healthy,QB,31.0,86.15707840528273,104.62611717767669,-24.703902447447703,0.30825290489792995,0.5277777777777778,0.7916666666666666,NaN,0.33571532904124674,0.6996887675419377
reg_2x,healthy,QB,31.0,85.8517790885313,104.02475602334057,-24.55248697913531,0.31017703232015986,0.5277777777777778,0.7916666666666666,NaN,0.32496264086920373,0.6996887675419377
no_reg,healthy,RB,78.0,53.869540268135445,70.5846615051602,-8.804934941463122,0.6600743947039197,0.4166666666666667,0.6805555555555557,0.7222222222222222,0.5209985935302391,0.8022784810126583
reg_0_5x,healthy,RB,78.0,53.56086230649962,70.30376261360902,-8.764939024123759,0.6608836450189852,0.4166666666666667,0.6805555555555557,0.7314814814814815,0.5251652601969058,0.8064451476793248
reg_1x,healthy,RB,78.0,53.320661963899624,70.06572218693238,-8.751344703893762,0.6599301947092627,0.4166666666666667,0.6805555555555557,0.7314814814814815,0.5251652601969058,0.8108895921237694
reg_2x,healthy,RB,78.0,52.937888331138346,69.67734528845135,-8.765006600903837,0.6608711235694035,0.4166666666666667,0.6805555555555557,0.7314814814814815,0.5293846694796062,0.8109423347398032
no_reg,healthy,TE,68.33333333333333,32.69256278252724,43.596153608484144,-6.678781131568655,0.7111915039923965,0.5833333333333334,0.7777777777777778,0.75,0.5327710188553033,0.8252581629666792
reg_0_5x,healthy,TE,68.33333333333333,32.417598508633176,43.394766934551775,-6.537453647279837,0.7104511254382428,0.5833333333333334,0.7777777777777778,0.75,0.5424348844015218,0.8203562021823655
reg_1x,healthy,TE,68.33333333333333,32.24720452845478,43.24366977974632,-6.450896324112435,0.7108331569524665,0.5833333333333334,0.7777777777777778,0.75,0.5424348844015218,0.8203562021823655
reg_2x,healthy,TE,68.33333333333333,32.05100257401664,43.01866846987689,-6.34707616699851,0.7117266785501263,0.5833333333333334,0.7777777777777778,0.75,0.5666645762782725,0.8252581629666792
no_reg,healthy,WR,130.66666666666666,43.410063285587256,55.71434200612625,-4.304414143280996,0.7556377902114391,0.5555555555555556,0.6944444444444443,0.7777777777777778,0.5059082881344583,0.8345483520346667
reg_0_5x,healthy,WR,130.66666666666666,43.25211102584925,55.49034577080169,-4.233144835223844,0.7563962971070529,0.5555555555555556,0.6944444444444443,0.7777777777777778,0.5060061891369646,0.8345483520346667
reg_1x,healthy,WR,130.66666666666666,43.12391575077445,55.3018292855738,-4.1837527574769275,0.7563830086111102,0.5555555555555556,0.6944444444444443,0.7777777777777778,0.5110952476611376,0.8345483520346667
reg_2x,healthy,WR,130.66666666666666,42.938113228446376,55.0015540090014,-4.12367501261068,0.7568891822474949,0.5555555555555556,0.6944444444444443,0.7777777777777778,0.5111931486636438,0.834607989439247
no_reg,injured,ALL,154.0,34.65088261152881,53.981130973669586,30.417362320923473,0.4470523997491374,0.3611111111111111,0.375,0.48148148148148145,0.705465420210828,0.8843795111956899
reg_0_5x,injured,ALL,154.0,35.025453309893926,54.018715989782066,31.307968943302864,0.45022930103290415,0.3611111111111111,0.375,0.48148148148148145,0.7009090542948914,0.8824071246079187
reg_1x,injured,ALL,154.0,35.451729471492435,54.080450690451464,32.060405819542886,0.4504266706809445,0.3611111111111111,0.375,0.48148148148148145,0.6988765339696882,0.8803746042827155
reg_2x,injured,ALL,154.0,36.27592073310981,54.241126478326045,33.317311627463674,0.45363533534887396,0.3611111111111111,0.375,0.48148148148148145,0.6923477814659803,0.8803746042827155
no_reg,injured,QB,33.666666666666664,44.07377172473924,63.457609070069786,33.777375853353846,0.3776405526178099,0.5277777777777778,0.7361111111111112,NaN,0.7024509803921569,0.8782913165266106
reg_0_5x,injured,QB,33.666666666666664,44.357582045233784,63.57031527150315,35.23620962509559,0.37958661593390247,0.5555555555555555,0.7361111111111112,NaN,0.7024509803921569,0.8782913165266106
reg_1x,injured,QB,33.666666666666664,44.767442968816944,63.74568305166843,36.48882869213313,0.37293143655826394,0.5555555555555555,0.7361111111111112,NaN,0.7024509803921569,0.8782913165266106
reg_2x,injured,QB,33.666666666666664,45.749295509959694,64.18612593231522,38.57813663070404,0.37503692784249826,0.5555555555555555,0.7361111111111112,NaN,0.6822303921568628,0.8782913165266106
no_reg,injured,RB,42.0,40.287446751298496,61.29152665240716,37.63459117075373,0.4647019756035157,0.5555555555555556,0.7083333333333334,0.8796296296296297,0.6892379527630444,0.8553923568611451
reg_0_5x,injured,RB,42.0,40.727048972318926,61.250536464871374,38.40437821720712,0.46787954720195263,0.5555555555555556,0.7083333333333334,0.8888888888888888,0.6804660229384831,0.8553923568611451
reg_1x,injured,RB,42.0,41.1777462125087,61.22694541718966,39.06234861391588,0.4624899725113308,0.5555555555555556,0.7083333333333334,0.8888888888888888,0.672714084953987,0.8553923568611451
reg_2x,injured,RB,42.0,42.001394231485286,61.211266103311864,40.1706668059139,0.4518526706736899,0.5555555555555556,0.7083333333333334,0.8796296296296297,0.6653066775465796,0.8553923568611451
no_reg,injured,TE,29.0,16.227392471402194,23.61333346081052,14.70120950870247,0.48480931318675075,0.6666666666666666,0.9027777777777778,NaN,0.7922525503170664,0.9507857733664186
reg_0_5x,injured,TE,29.0,16.652737171348654,23.751923417068923,15.395807920883499,0.48356483398188743,0.6666666666666666,0.9027777777777778,NaN,0.7922525503170664,0.9507857733664186
reg_1x,injured,TE,29.0,17.049708374509205,23.910293062720637,15.936052187655726,0.4752070273285463,0.6666666666666666,0.888888888888889,NaN,0.7922525503170664,0.9507857733664186
reg_2x,injured,TE,29.0,17.761375925997907,24.22096939162076,16.797497051518935,0.46738340078991025,0.6666666666666666,0.875,NaN,0.7922525503170664,0.9507857733664186
no_reg,injured,WR,49.333333333333336,33.073796364763474,49.976848650383516,30.06123452391458,0.44616031459638705,0.5555555555555556,0.6666666666666666,NaN,0.6776420378115292,0.8792770318194046
reg_0_5x,injured,WR,49.333333333333336,33.429223734278885,50.012685947752466,30.804763511872295,0.446859220095337,0.5555555555555556,0.6666666666666666,NaN,0.671992320297405,0.8736273143052804
reg_1x,injured,WR,49.333333333333336,33.8705471188349,50.063516404888475,31.435538886873843,0.43548601949810023,0.5555555555555556,0.6527777777777778,NaN,0.671992320297405,0.8676749333528995
reg_2x,injured,WR,49.333333333333336,34.664366897731874,50.18908547003128,32.50329018212729,0.43159309160552645,0.5555555555555556,0.6527777777777778,NaN,0.671992320297405,0.8676749333528995
